Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
ಅವನು ಗಿಣಿಯಂತೆ ರಾತ್ರಿ ಇಡೀ ಎಚ್ಚರ ಇರುತ್ತಾನೆ,ಅವನು ರಾತ್ರಿ ಇಡೀ ಎಚ್ಚರವಿರುತ್ತಾನೆ,ಅವನು ಇಡೀ ರಾತ್ರಿ ಎಚ್ಚರವಿರುವುದಿಲ್ಲ,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares someone to a vigilant owl, emphasizing their alertness throughout the entire night. Option 0 reflects this meaning by stating that the person remains alert throughout the entire night. Option 1, on the other hand, suggests the person is not vigilant the entire night, which does not align with the metaphor.",0,,0
ಅವನು ಕೋಪದಲ್ಲಿ ಐಸ್ನಂತೆ ಉರಿಯುತ್ತಿದ್ದ,ಅವನು ಕೋಪದಲ್ಲಿ ಉರಿಯುತ್ತಿದ್ದ,ಅವನು ಶಾಂತಿಯಿಂದ ಇದ್ದನು,1,"{
  ""explanation"": ""The metaphor compares the person to ice melting in anger, implying that the person was burning with anger."",
  ""answer"": 0
}",0,,0
ಅವಳು ಪ್ರಾಣಿಯಂತೆ ಬಹು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ,ಅವಳು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ,ಅವಳು ಎತ್ತರ ಹಾರುವುದಿಲ್ಲ,1,"{
  ""Explanation"": ""Comparing her to an animal jumping high signifies that she achieves great heights or success."",
  ""Answer"": 0
}",0,,0
ಈ ಪ್ರಾಣಿಯು ನಾಯಿ ಅಂತೆ ಗರ್ಜಿಸುತ್ತದೆ,: ಆ ಪ್ರಾಣಿಯ ಘರ್ಜಿಸುತ್ತದೆ,ಆ ಪ್ರಾಣಿ ಘರ್ಜಿಸುವುದಿಲ್ಲ,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the sound of the animal to that of a dog, emphasizing the loudness and intensity of the noise. Option 0) reflects this comparison closely by stating that the animal roars like a dog, capturing the essence of the metaphor. Option 1) does not align with the metaphor as it states that the animal does not growl, which is not in line with the comparison being made in the metaphor.",0,,0
ದೋಸೆಯು ಸ್ಯಾಂಡ್ವಿಚ್ನಷ್ಟೇ ಪ್ರಸಿದ್ಧ ಉಪಹಾರವಾಗಿದೆ,ದೋಸೆ ಪ್ರಸಿದ್ಧ ಉಪಹಾರ,ದೋಸೆ ಪ್ರಸಿದ್ಧ ಉಪಹಾರವಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing dosa to a popular snack, indicating that dosa is also a well-known dish."",
  ""answer"": 0
}",0,,0
ಈ ಪ್ರದೇಶವು ಡ್ಯಾಮ್ ನಂತೆ ಜಾಸ್ತಿ ನೀರನ್ನು ಹಿಡಿಯಬಲ್ಲದು,ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಬಲ್ಲದು,"ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಲಾರದು,",0,"{
  ""explanation"": ""Diamonds are known for their ability to repel water, not absorb it."",
  ""answer"": 1
}",1,,0
ಈ ಪ್ರದೇಶವು ಟ್ಯಾಂಕ್ ನಂತೆ ಜಾಸ್ತಿ ನೀರನ್ನು ಹಿಡಿಯಬಲ್ಲದು,ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಬಲ್ಲದು,"ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಲಾರದು,",1,"{
  ""answer"": 0
}

Explanation: In this metaphor, the comparison is made between the area and a tank, indicating that the area can hold more water like a tank. Therefore, the meaning closest to the metaphor is option 0) ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಬಲ್ಲದು (that area can hold more water).",0,,0
ಜೀವಿಗಳು ಸಮುದ್ರದಲ್ಲಿ ಹೆಚ್ಚು ವಾಸಿಸುತ್ತವೆ.,ಸಮುದ್ರದಲ್ಲಿ ಹೆಚ್ಚು ಜೀವಿಗಳು ವಾಸಿಸುತ್ತವೆ,ಸಮುದ್ರದಲ್ಲಿ ಕಡಿಮೆ ಜೀವಿಗಳು ವಾಸಿಸುತ್ತವೆ,0,"{
""error"": ""Please provide the answer explanation first""
}",1,NG,0
ಜೀವಿಗಳು ಬಾವಿಯಲ್ಲಿ ಹೆಚ್ಚು ವಾಸಿಸುತ್ತವೆ.,ಸಮುದ್ರದಲ್ಲಿ ಹೆಚ್ಚು ಜೀವಿಗಳು ವಾಸಿಸುತ್ತವೆ,ಸಮುದ್ರದಲ್ಲಿ ಕಡಿಮೆ ಜೀವಿಗಳು ವಾಸಿಸುತ್ತವೆ,1,"{
""Explanation"": ""This metaphor is comparing living beings residing in a well to living beings residing in the ocean. The well symbolizes limited knowledge or experience, while the ocean symbolizes vast knowledge or experience. Thus, the closest meaning to the metaphor is that more living beings reside in the well (limited knowledge or experience) than in the ocean (vast knowledge or experience)."",
""Answer"": 0
}",0,,0
ಆ ನೀರು ನಲ್ಲಿ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿದೆ,ಆ ನೀರು ಉಪ್ಪಾಗಿದೆ,ಆ ನೀರು ಉಪ್ಪಾಗಿಲ್ಲ,1,"{
	""Explanation"": ""This metaphor implies that the situation is problematic or has become unpleasant, similar to how salty water is not suitable for drinking. It is not stating that the water itself has become salty."",
	""Answer"": 0
}",0,,0
ಆ ಹುಡುಗನು ಆನೆಯಂತೆ ಹಾರುತ್ತಾನೆ,ಆ ಹುಡುಗ ಹಾರುತ್ತಾನೆ,ಆ ಹುಡುಗ ಹಾರುವುದಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the boy to an elephant, emphasizing the way he moves or behaves"",
  ""answer"": 0
}",0,,0
ಅವನು ಕೈಲೆಕ್ಕದಂತೆ ತುಂಬಾ ವೇಗ,ಅವನು ತುಂಬಾ ವೇಗ,ಅವನು ನಿಧಾನ,1,"{
  ""answer"": 0
} 

Explanation: This metaphor is comparing someone to filling up a container quickly, implying that the person is very fast in their actions. Therefore, the closest meaning would be ""ಅವನು ತುಂಬಾ ವೇಗ"" which means ""he is very fast"".",0,,0
ಆ ಜಾಗವು ಸುರಂಗದಂತೆ ಎತ್ತರವಾಗಿತ್ತು,ಆ ಜಾಗ ಎತ್ತರದಲ್ಲಿದೆ,ಆ ಜಾಗ ಎತ್ತರದಲ್ಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the place to a tunnel, suggesting that it was high or elevated."",
  ""answer"": 0
}",0,,0
ಈ ತಿನಿಸು ಕೇಕ್ನಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು,ಈ ತಿನಿಸು ಗಟ್ಟಿಯಾಗಿದೆ,ಈ ತಿನ್ನಿಸು ಗಟ್ಟಿ ಇಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the hardness of the cake, so the correct meaning is 'ಈ ತಿನಿಸು ಗಟ್ಟಿಯಾಗಿದೆ'."",
  ""answer"": 0
}",0,,0
ಅದು ಸೋಪ್ ನಂತೆ ನಯವಾಗಿತ್ತು,ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿತ್ತು,ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿಲ್ಲ,0,"{
  ""explanation"": ""The comparison is being made to soap, implying that it was gentle."",
  ""answer"": 1
}",1,,0
ಆತನನ್ನು ಕಂಡಾಗ ಉಗ್ರಗಾಮಿಯನ್ನುನೋಡಿದಷ್ಟು ಹೆಮ್ಮೆಯಾಗುತಿತ್ತು,ಆತನನ್ನು ನೋಡಿದಾಗ ಹೆಮ್ಮೆಯಾಗುತ್ತದೆ,ಆತನನ್ನು ನೋಡಿದಾಗ ಹೆಮ್ಮೆ ಆಗುವುದಿಲ್ಲ,1,"{
  ""Explanation"": ""The metaphor is comparing the feeling of pride upon seeing someone to the fierceness of a warrior. The correct option is one that retains the comparison made in the metaphor."",
  ""Answer"": 0
}",0,,0
ಆ ವಸ್ತುವು ತಾಮ್ರದಂತೆ ಸೂಕ್ಷ್ಮವಾಗಿತ್ತು,ಆ ವಸ್ತು ತುಂಬಾ ಸೂಕ್ಷ್ಮ,ಆ ವಸ್ತು ತುಂಬಾ ಗಟ್ಟಿ,1,"{
  ""explanation"": ""The comparison is between the object and copper, suggesting that the object was delicate and intricate like copper."",
  ""answer"": 0
}",0,,0
ಆ ಖಾದ್ಯವು ರಸ್ತೆ ಬದಿಯ ತಿಂಡಿಯಂತೆ ಶುಚಿಯಾಗಿತ್ತು,ಖಾದ್ಯವು ಶುಚಿಯಾಗಿತ್ತು,ಖಾದ್ಯವು ಶುಚಿಯಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the cleanliness of the food to the cleanliness of street food, implying it was clean."",
  ""answer"": 0
}",0,,0
ಆ ಅಡುಗೆಯು ಪಾಸ್ತದಂತೆ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು,ಅಡುಗೆ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು,ಅಡುಗೆಯ ಅನಾರೋಗ್ಯಕರವಾಗಿತ್ತು,1,"{
  ""explanation"": ""The metaphor compares the blanket to a bed of health, indicating that the blanket was warm, comforting, and conducive to good health."",
  ""answer"": 0
}",0,,0
ಈ ತಿನಿಸು ಮಾವಿನ ಹಣ್ಣಿನಂತೆ ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the taste of the food to the sweetness of a mango fruit."",
  ""answer"": 0
}",0,,0
ಈ ಜಾಗವು ಮನೆಯ ಟ್ಯಾಂಕ್ ನಂತೆ ಆಳವಾಗಿದೆ,ಆ ಜಾಗವು ಆಳವಾಗಿದೆ,ಆ ಜಾಗವು ಆಳವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the depth of the place to a house tank, implying that the place is deep."",
  ""answer"": 0
}",0,,0
ಈ ಮೀನು ತಿಮಿಂಗಲದಂತೆ ಬೃಹದಾಕಾರವಾಗಿದೆ,ಆ ಮೀನಿನ ಆಕಾರ ಬೃಹದಾಕಾರ,ಆ ಮೀನಿನಾಕಾರ ಸಣ್ಣದು,1,"{
  ""explanation"": ""The metaphor compares the shape of the fish to the shape of a whale, emphasizing largeness. Therefore, the meaning closest to the metaphor is that the shape of the fish is big like a whale."",
  ""answer"": 0
}",0,,0
ಅವನ ಗೆಲುವು ಬೆಲ್ಲದಂತೆ ಇತ್ತು,ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿತ್ತು,ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿರಲಿಲ್ಲ,0,"{
	""Startphrase"": ""ಅವನ ಗೆಲುವು ಬೆಲ್ಲದಂತೆ ಇತ್ತು"",
	""Options"": {
		""0"": ""ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿತ್ತು"",
		""1"": ""ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿರ",1,NG,0
ಅವನ ಗೆಲುವು ಬೇವಿನಂತೆ ಇತ್ತು,ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿತ್ತು,ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the victory to a berry, implying that it was sweet and enjoyable."",
  ""answer"": 0
}",0,,0
ಅವನ ಧೈರ್ಯವು ರಾಣಿ ಚೆನ್ನಮ್ಮನಂತೆ ಇತ್ತು,ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದು,ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದಲ್ಲ,1,"{
  ""explanation"": ""Comparing someone's courage to 'Queen Chennamma' is meant to imply that the person's bravery is commendable and remarkable."",
  ""answer"": 0
}",0,,0
ಆ ತಿಂಡಿಯು ಪಫ್ ನಂತೆ ಚಪ್ಪಟ್ಟೆಯಾಗಿತ್ತು,ಆ ತಿಂಡಿಯು ಚಪ್ಪಟ್ಟೆಯಾಗಿತ್ತು,ಆ ತಿಂಡಿಯು ಚಪ್ಪಟ್ಟೆಯಾಗಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the food to a papad, indicating that the food was crispy and crunchy like a papad."",
  ""answer"": 0
}",0,,0
ಅವರು ನೀಡಿದ್ದ ನೀರು ಬಾವಿಯ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿತ್ತು,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿತ್ತು,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the taste of the water to that of well water, so the correct option is that the taste of the water given by them was salty."",
  ""answer"": 0
}",0,,0
ಅದು ತಣ್ಣನೆಯ ತಂಗಾಳಿಯಂತೆ  ಬಿಸಿಯಾಗಿತ್ತು,ಅದು ತುಂಬಾ ಬಿಸಿಯಾಗಿತ್ತು,ಅದು ತಣ್ಣಗಿತ್ತು,0,"{
  ""explanation"": ""The phrase describes something as being very cool and refreshing like a gentle breeze, which indicates that it was not hot or warm."",
  ""answer"": 1
}",1,,0
ಅದು ಬಿರುಗಾಳಿಯಂತೆ ಬಿಸಿಯಾಗಿತ್ತು,ಅದು ತುಂಬಾ ಬಿಸಿಯಾಗಿತ್ತು,ಅದು ತಣ್ಣಗಿತ್ತು,1,"{
  ""explanation"": ""The metaphor is comparing something to a strong wind, so the closest meaning would be 'It was very hot like a strong wind'"",
  ""answer"": 0
}",0,,0
ಆಕೆ ಮಾಡೆಲ್ ನಂತೆ ಆಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು,ಆಕೆ ಹೆಚ್ಚು ಅಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು,ಆಕೆ ಕಡಿಮೆ ಅಲಂಕಾರ ಮಾಡಿದ್ದಳು,0,"{
  ""answer"": 1
}

Explanation: In this metaphor, the comparison is between the act of dressing up and modeling. When someone models clothing, they showcase it in a way that is striking and attention-grabbing - just like how someone might dress up with a lot of accessories and embellishments. Therefore, the meaning closest to the metaphor is that she dressed up with fewer accessories, option 1.",1,,0
ಆ ಪ್ರಾಣಿಯು  ಕಪ್ಪೆಯಂತೆ ಅತಿಯಾದ ನಿದ್ರೆ ಮಾಡುತ್ತಿತ್ತು,ಆ ಪ್ರಾಣಿ ಕಡಿಮೆ ನಿದ್ದೆ ಮಾಡುತ್ತಿತ್ತು,ಆ ಪ್ರಾಣಿ ಕಡಿಮೆ ನಿದ್ದೆ ಮಾಡುತ್ತಿತ್ತು,1,"{
  ""error"": ""No explanation provided""
}",0,NG,0
ಆ ಹೆಂಗಸು ಶೂರ್ಪಣಕಿಯಂತೆ ಸುಂದರವಾಗಿದ್ದಳು,ಆ ಹೆಂಗಸು ಸುಂದರವಾಗಿದ್ದಳು,ಆ ಹೆಂಗಸು ಕುರೂಪಿಯಾಗಿದ್ದಳು,1,"{
  ""explanation"": ""The metaphor compares the woman to a beautiful weapon, emphasizing her beauty and strength."",
  ""answer"": 0
}",0,,0
ಆ ಚಾದರವು ಗಟ್ಟಿ ನೆಲದಂತೆ ಮೃದುವಾಗಿತ್ತು,ಆ ಚಾದರ ಮೃದುವಾಗಿತ್ತು,ಆ ಚಾದರ ಮೃದುವಾಗಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the firm ground to something soft, so the closest meaning is option 0 - ಆ ಚಾದರ ಮೃದುವಾಗಿತ್ತು (the ground was soft)"",
  ""answer"": 0
}",0,,0
ಅದು ಕೆರೆಯಂತೆ ಅಗಲವಾಗಿತ್ತು,ಆ ಜಾಗದ ಅಗಲವಾಗಿತ್ತು,ಆ ಜಾಗ ಅಗಲವಾಗಿರಲಿಲ್ಲ,0,"{
""Explanation"": ""This metaphor compares something to a dam, which is something that is contained or blocked. In this context, 'ಅದು ಕೆರೆಯಂತೆ ಅಗಲವಾಗಿತ್ತು' suggests that the thing was contained or restricted like a dam."",
""Answer"": 1
}",1,,0
ಅದು ನದಿಯಂತೆ  ಅಗಲವಾಗಿತ್ತು,ಆ ಜಾಗದ ಅಗಲವಾಗಿತ್ತು,ಆ ಜಾಗ ಅಗಲವಾಗಿರಲಿಲ್ಲ,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""ಅದು ನದಿಯಂತೆ ಅಗಲವಾಗಿತ್ತು"" compares the subject to a river flowing smoothly, suggesting motion and fluidity. Option 0) ""ಆ ಜಾಗದ ಅಗಲವಾಗಿತ್ತು"" is closest in meaning as it refers to the smooth flow or movement of the subject similar to a river. Option 1) ""ಆ ಜಾಗ ಅಗಲ",0,,0
ಆ ಆಟವು  ನಡಿಗೆಯಂತೆ ರೋಚಕವಾಗಿತ್ತು,ಆಟ ರೋಚಕವಾಗಿತ್ತು,ಆಟ ರೋಚಕವಾಗಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the game to a dance, emphasizing the excitement and liveliness of the game. This implies that the game was exciting, like a dance."",
  ""answer"": 0
}",0,,0
ಆ ವ್ಯಕ್ತಿಯು ಹಾಸ್ಯಗಾರನಂತೆ ತಮಾಷೆಯಾಗಿದ್ದನು,ಆ ವ್ಯಕ್ತಿ ತಮಾಷೆ ಮಾಡುತ್ತಿದ್ದ,ಆ ವ್ಯಕ್ತಿ ತಮಾಷೆ ಮಾಡುತ್ತಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the person to a comedian, implying that the person was entertaining others with jokes or humor."",
  ""answer"": 0
}",0,,0
ಇದು  ಸೂಪ್ ನಂತೆ ತಣ್ಣಗಿತ್ತು,ಆ ವಸ್ತು ತಣ್ಣಗಿತ್ತು,ಆ ವಸ್ತು ತಣ್ಣಗಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares something to a cool soup, indicating that the object was refreshing or pleasant."",
  ""answer"": 0
}",0,,0
ಅದು ದೋಸೆಯಂತೆ ಗರಿಗರಿಯಾಗಿತ್ತು,ಅದು ಗರಿಗರಿಯಾಗಿತ್ತು,ಅದು ಗರಿಗರಿಯಾಗಿರಲಿಲ್ಲ,1,"{
  ""Explanation"": ""The metaphor compares the situation to a dosa, which is a South Indian dish that is crispy and makes crackling sounds when cooked. Therefore, the intended meaning is that it was crispy and crackling, similar to the texture and sound of a dosa."",
  ""Answer"": 0
}",0,,0
ಅವಳು ಹಾಕಿದ್ದ ಒಡವೆಯು ವಜ್ರದಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು,ಅವಳ ಒಡವೆ ತುಂಬಾ ಗಟ್ಟಿ ಇತ್ತು,ಅವಳ ಒಡವೆ ತುಂಬಾ ಟಳ್ಳಾಗಿತ್ತು,1,"{
  ""explanation"": ""The metaphor compares the strength of the thread to a diamond, implying that it was very strong."",
  ""answer"": 0
}",0,,0
ಆಕೆಯ ಉಡುಪು ಬಿಳಿ ಹಲಗೆಯಂತೆ ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು,ಆಕೆಯ ಉಡುಪು ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು,ಆಕೆಯ ಉಡುಪು ಆಕರ್ಷಕ ಬಣ್ಣಗಳನ್ನು ಹೊಂದಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the colors of her dress to a rainbow, emphasizing the attractiveness of the colors. Option 0 reflects this comparison closely, stating that her dress was filled with attractive colors."",
  ""answer"": 0
}",0,,0
ಈ ಮನೆಯು ಹಳೆಯ ಸ್ಮಾರಕದಂತೆ ಹಳೆಯದು,ಆ ಮನೆ ಹಳೆಯದು,ಆ ಮನೆ ಹೊಸದು,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the house to an old monument, indicating that the house is old and reminiscent of the past. Therefore, the closest option is ""ಆ ಮನೆ ಹಳೆಯದು"" which means ""That house is old.""",0,,0
ಆತ ಮಾತನಾಡುವುದು ಜೋರುಮಾತಿನಂತೆ ಕರ್ಕಶವಾಗಿದೆ,ಆತ ಮಾತನಾಡುವುದು ಕರ್ಕಶವಾಗಿದೆ,ಆತ ಮಾತಾಡುವುದು ಇಂಪಾಗಿದೆ,1,"{
  ""explanation"": ""The metaphor is comparing the person's speech to sharp words, not passionate words. Therefore, the closest meaning is that his speech is harsh."",
  ""answer"": 0
}",0,,0
ಅಂದು ಅಮಾವಾಸ್ಯೆಯ ದಿನದಂತೆ ಕಗ್ಗತ್ತಲು ಕವಿದಿತ್ತು,ಅಂದು ಕಗ್ಗತ್ತಲು ಕವಿದಿತ್ತು,ಅಂದು ಕಗ್ಗತ್ತಲು ಕವಿದಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the darkness of the new moon day to the darkness that had enveloped the situation on that day, implying that the situation was grim or sorrowful."",
  ""answer"": 0
}",0,,0
ಅವನು  ಶಿಶುವಿನಂತೆ ಕಿರಿಯವನಾಗಿದ್ದಾನೆ,ಅವನು ಕಿರಿಯವನಾಗಿದ್ದಾನೆ,ಅವನು ಕಿರಿಯವನಾಗಿಲ್ಲ,0,"{
  ""input"": ""ಅವನು ಶಿಶುವಿನಂತೆ ಕಿರಿಯವನಾಗಿದ್ದಾನೆ"",
  ""option0"": ""ಅವನು ಕಿರಿಯವನಾಗಿದ್ದಾನೆ"",
  ""option1"": ""ಅವನು ಕಿರಿಯವನಾಗಿಲ",1,NG,0
ಆತನ ದಿರಿಸು ಭಿಕ್ಷುಕನಂತೆ ಶುಚಿಯಾಗಿತ್ತು,ಆತನ ದಿರಿಸು ಶುಚಿಯಾಗಿತ್ತು,ಆತನ ದಿರಿಸು ಶುಚಿಯಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""Comparing someone's actions to that of a beggar who keeps himself clean"",
  ""answer"": 0
}",0,,0
ಆ ತಿಂಡಿಯು ಬ್ರೆಡ್ ನಂತೆ ತೆಳುವಾಗಿತ್ತು,ಆ ತಿಂಡಿಯು ತೆಳುವಾಗಿತ್ತು,ಆ ತಿಂಡಿಯು ತೆಳುವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the texture of the food to that of bread, implying it was soft."",
  ""answer"": 0
}",0,,0
ಆ ಜಾಗವು  ಭೂಮಿಯಂತೆ ಎತ್ತರವಾಗಿತ್ತು,ಆ ಜಾಗವು ಎತ್ತರವಾಗಿತ್ತು,ಆ ಜಾಗವು ಎತ್ತರವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the height of the place to the height of the ground, implying that the place was elevated."",
  ""answer"": 0
}",0,,0
ಅದರ ಆಕಾರವು ವೃತ್ತದಂತೆ ವಕ್ರವಾಗಿದೆ,ಅದರ ಆಕಾರವು ವಕ್ರವಾಗಿದೆ,ಅದರ ಆಕಾರವು ವಕ್ರವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor mentions the shape being curved like a circle, implying that it is not straight."",
  ""answer"": 0
}",0,,0
ಅದು ದೋಣಿಯಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing something to the size of a boat. The closest meaning is that it is big."",
  ""answer"": 0
}",0,,0
ಆಕೆಯ ರಾಗವುನೃತ್ಯಗಾರನಷ್ಟುಇಂಪಾಗಿದೆ,ಆಕೆಯ ರಾಗವು ಇಂಪಾಗಿದೆ,ಆಕೆಯ ರಾಗವು ಇಂಪಾಗಿಲ್ಲ,1,"{
""Explanation"": ""The metaphor compares her anger to a dancer, indicating that it is lively and intense."",
""Answer"": 0
}",0,,0
ಈ ವಾಹನವು ಎತ್ತಿನಗಾಡಿಯಂತೆ ವೇಗವಾಗಿದೆ,ಈ ವಾಹನವು ವೇಗವಾಗಿದೆ,ಈ ವಾಹನವು ವೇಗವಾಗಿಲ್ಲ,0,"{
  ""explanation"": ""The metaphor is comparing the speed of the vehicle to a bullock cart, which is slow. Therefore, the closest meaning is that the vehicle is not fast, similar to a bullock cart."",
  ""answer"": 1
}",1,,0
ಈ ವಾಹನವು ಜೆಟ್ ನಂತೆ ವೇಗವಾಗಿದೆ,ಈ ವಾಹನವು ವೇಗವಾಗಿದೆ,ಈ ವಾಹನವು ವೇಗವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the vehicle to a jet, which is known for its speed. So, the closest meaning is that the vehicle is fast."",
  ""answer"": 0
}",0,,0
ಇವನು  ವಯಸ್ಕನಷ್ಟು ಖುಷಿಯಾಗಿದ್ದಾನೆ,ಇವನು ಖುಷಿಯಾಗಿದ್ದಾನೆ,ಇವನು ಖುಷಿಯಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The phrase describes someone as happy as an adult, implying that the person is truly happy."",
  ""answer"": 0
}",0,,0
ಅವನು ಇರುವೆಯಂತೆ ದೊಡ್ಡದಾಗಿದ್ದಾನೆ,ಅವನು ದೊಡ್ಡದಾಗಿದ್ದಾನೆ,ಅವನು ದೊಡ್ಡದಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the person to a ship, suggesting that the person is large or prominent in a certain context."",
  ""answer"": 0
}",0,,0
ಆಕೆ ದೆವ್ವದಂತೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿಲ್ಲ,1,"{
  ""Explanation"": ""Comparing someone to a deity is a form of praise, suggesting they are respected and revered."",
  ""Answer"": 0
}",0,,0
ಆ ಕಟ್ಟಡವು ಗುಡಿಸಲಿನಂತೆ ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the building to a palace, implying that the building is luxurious and comfortable like a palace."",
  ""answer"": 0
}",0,,0
ಈ ಹಣ್ಣು ಸೀಬೆಯಂತೆ ರಸಮಯವಾಗಿದೆ,ಈ ಹಣ್ಣು ರಸಮಯವಾಗಿದೆ,ಈ ಹಣ್ಣು ರಸಮಯವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the fruit to a sieve, indicating that it is juicy and full of flavor just like a sieve is filled with liquid. Option 0 reflects this comparison closely."",
  ""answer"": 0
}",0,,0
ಅವನು ಭಿಕ್ಷುಕನಂತೆ ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ,1,"{
  ""Explanation"": ""The metaphor compares the person to a beggar but implies that they are actually wealthy. This means that the person is wealthy despite appearing like a beggar."",
  ""Answer"": 0
}",0,,0
ಆ ಎಣ್ಣೆ ಹರಳೆಣ್ಣೆಯಷ್ಟು ಸ್ನಿಗ್ಧವಾಗಿದೆ,ಆ ಎಣ್ಣೆ ಸ್ನಿಗ್ಧವಾಗಿದೆ,ಆ ಎಣ್ಣೆ ಸ್ನಿಗ್ಧವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the smoothness of the oil to butter, implying it is very smooth."",
  ""answer"": 0
}",0,,0
