ending1,ending2,startphrase,labels,instruction_column
Hawa na tiis,Hawa na panas.,Hawa na siga di leuweung,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hawa na siga di leuweung, Options: 0) Hawa na tiis 1) Hawa na panas."
Hawa na tiis,Hawa na panas.,Hawa na siga di pasar.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hawa na siga di pasar., Options: 0) Hawa na tiis 1) Hawa na panas."
Kaayaan ayeuna awon,Kaayaan ayeuna alus.,Kaayaan ayeuna kawas loba dosa,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kaayaan ayeuna kawas loba dosa, Options: 0) Kaayaan ayeuna awon 1) Kaayaan ayeuna alus."
Kaayaan ayeuna awon,Kaayaan ayeuna alus.,Kaayaan ayeuna kawas loba pahala.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kaayaan ayeuna kawas loba pahala., Options: 0) Kaayaan ayeuna awon 1) Kaayaan ayeuna alus."
Hujan na lebat,Hujan na tiiseun.,Hujanna kawas cai ngagubrag,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hujanna kawas cai ngagubrag, Options: 0) Hujan na lebat 1) Hujan na tiiseun."
Hujan na lebat,Hujan na tiiseun.,Hujanna kawas cai ceret.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hujanna kawas cai ceret., Options: 0) Hujan na lebat 1) Hujan na tiiseun."
Salaki na kedul,Salaki na rajin.,Salaki na kawas Kabayan,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Salaki na kawas Kabayan, Options: 0) Salaki na kedul 1) Salaki na rajin."
Salaki na kedul,Salaki na rajin.,Salaki na kawas Nyi Iteung.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Salaki na kawas Nyi Iteung., Options: 0) Salaki na kedul 1) Salaki na rajin."
Budak na kurus,Budak na gendut.,Budak na siga nu dipoe ti isuk nepi peuting,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Budak na siga nu dipoe ti isuk nepi peuting, Options: 0) Budak na kurus 1) Budak na gendut."
Budak na kurus,Budak na gendut.,Budak na siga nu dihuapan sapopoe.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Budak na siga nu dihuapan sapopoe., Options: 0) Budak na kurus 1) Budak na gendut."
Hirup teh loba tantangan,Hirup teh teu aya tantangan.,Hirup teh kawas meuntas atas benang,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hirup teh kawas meuntas atas benang, Options: 0) Hirup teh loba tantangan 1) Hirup teh teu aya tantangan."
Hirup teh loba tantangan,Hirup teh teu aya tantangan.,Hirup teh kawas leumpang dina jalan lega.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hirup teh kawas leumpang dina jalan lega., Options: 0) Hirup teh loba tantangan 1) Hirup teh teu aya tantangan."
Keneh isuk tos panas,Keneh isuk keneh tiis.,Keneh isuk ngan siga panonpoe geus mencrang wae,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Keneh isuk ngan siga panonpoe geus mencrang wae, Options: 0) Keneh isuk tos panas 1) Keneh isuk keneh tiis."
Keneh isuk tos panas,Keneh isuk keneh tiis.,Keneh isuk ngan siga moal aya deui panonpoe.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Keneh isuk ngan siga moal aya deui panonpoe., Options: 0) Keneh isuk tos panas 1) Keneh isuk keneh tiis."
Ngabaturan si eta unggal poe loba masalah,Ngabaturan si eta unggal poe euweuh masalah.,Ngabaturan si eta unggal poe siga keur aya perang wae,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ngabaturan si eta unggal poe siga keur aya perang wae, Options: 0) Ngabaturan si eta unggal poe loba masalah 1) Ngabaturan si eta unggal poe euweuh masalah."
Ngabaturan si eta unggal poe loba masalah,Ngabaturan si eta unggal poe euweuh masalah.,Ngabaturan si eta unggal poe siga boga asisten sagala tiasa.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ngabaturan si eta unggal poe siga boga asisten sagala tiasa., Options: 0) Ngabaturan si eta unggal poe loba masalah 1) Ngabaturan si eta unggal poe euweuh masalah."
Ka kolot undak unduk na siga durhaka,Ka kolot undak unduk na siga ngabaktos.,Kakolot undak unduk na siga malin kundang,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kakolot undak unduk na siga malin kundang, Options: 0) Ka kolot undak unduk na siga durhaka 1) Ka kolot undak unduk na siga ngabaktos."
Ka kolot undak unduk na siga durhaka,Ka kolot undak unduk na siga ngabaktos.,Kakolot undak unduk na siga lukman hakim.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kakolot undak unduk na siga lukman hakim., Options: 0) Ka kolot undak unduk na siga durhaka 1) Ka kolot undak unduk na siga ngabaktos."
Budak ayeuna mung gawe lambat,Budak ayeuna mung gawe geusit.,Budak ayeuna mung gawe kawas kebo,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Budak ayeuna mung gawe kawas kebo, Options: 0) Budak ayeuna mung gawe lambat 1) Budak ayeuna mung gawe geusit."
Budak ayeuna mung gawe lambat,Budak ayeuna mung gawe geusit.,Budak ayeuna mung gawe kawas peucang.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Budak ayeuna mung gawe kawas peucang., Options: 0) Budak ayeuna mung gawe lambat 1) Budak ayeuna mung gawe geusit."
Milarian artos rajin,Milarian artos nyalse.,Milarian artos siga nu moal waka gugah deui,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Milarian artos siga nu moal waka gugah deui, Options: 0) Milarian artos rajin 1) Milarian artos nyalse."
Milarian artos rajin,Milarian artos nyalse.,Milarian artos siga artos ngagolosor ti langit.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Milarian artos siga artos ngagolosor ti langit., Options: 0) Milarian artos rajin 1) Milarian artos nyalse."
Mie na beukah sae,Mie na beukah teu tangtu.,Mie na beukah kawas kembang aromanis,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mie na beukah kawas kembang aromanis, Options: 0) Mie na beukah sae 1) Mie na beukah teu tangtu."
Mie na beukah sae,Mie na beukah teu tangtu.,Mie na beukah kawas adonan buyatak.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mie na beukah kawas adonan buyatak., Options: 0) Mie na beukah sae 1) Mie na beukah teu tangtu."
Bumi na beresih pisan,Bumi na buladig.,Bumi na siga nu teu aya cucunguk sahiji-hiji acan,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bumi na siga nu teu aya cucunguk sahiji-hiji acan, Options: 0) Bumi na beresih pisan 1) Bumi na buladig."
Bumi na beresih pisan,Bumi na buladig.,Bumi na siga sarang na cucunguk.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bumi na siga sarang na cucunguk., Options: 0) Bumi na beresih pisan 1) Bumi na buladig."
Sakola na ka bumi tebih,Sakola na ka bumi caket.,Sakola na ka bumi siga ti kulon ka wetan,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sakola na ka bumi siga ti kulon ka wetan, Options: 0) Sakola na ka bumi tebih 1) Sakola na ka bumi caket."
Sakola na ka bumi tebih,Sakola na ka bumi caket.,Sakola na ka bumi siga ukur salengkah.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sakola na ka bumi siga ukur salengkah., Options: 0) Sakola na ka bumi tebih 1) Sakola na ka bumi caket."
Pangaos cocoan si ade awis,Pangaos cocoan si ade mirah.,Pangaos cocoan si ade siga panagos imah jeung sawah,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pangaos cocoan si ade siga panagos imah jeung sawah, Options: 0) Pangaos cocoan si ade awis 1) Pangaos cocoan si ade mirah."
Pangaos cocoan si ade awis,Pangaos cocoan si ade mirah.,Pangaos cocoan si ade siga cimol tilu siki.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pangaos cocoan si ade siga cimol tilu siki., Options: 0) Pangaos cocoan si ade awis 1) Pangaos cocoan si ade mirah."
Wengi ieu langit na mencrang,Wengi ieu langit na ceudeum.,Wengi ieu langit na siga cai herang,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wengi ieu langit na siga cai herang, Options: 0) Wengi ieu langit na mencrang 1) Wengi ieu langit na ceudeum."
Wengi ieu langit na mencrang,Wengi ieu langit na ceudeum.,Wengi ieu langit na siga cai kopi.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wengi ieu langit na siga cai kopi., Options: 0) Wengi ieu langit na mencrang 1) Wengi ieu langit na ceudeum."
Kasohor na eta artis sagala jalmi uninga,Kasohor na eta artis teu aya jalmi uninga.,Kasohor na eta artis siga nu gaduh panghargaan ti seeuer nagara,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kasohor na eta artis siga nu gaduh panghargaan ti seeuer nagara, Options: 0) Kasohor na eta artis sagala jalmi uninga 1) Kasohor na eta artis teu aya jalmi uninga."
Kasohor na eta artis sagala jalmi uninga,Kasohor na eta artis teu aya jalmi uninga.,Kasohor na eta artis siga nu teu aya internet wae.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kasohor na eta artis siga nu teu aya internet wae., Options: 0) Kasohor na eta artis sagala jalmi uninga 1) Kasohor na eta artis teu aya jalmi uninga."
Hasil melak na loba,Hasil melak na saeutik.,Hasil melak na kawas kali keur banjir,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hasil melak na kawas kali keur banjir, Options: 0) Hasil melak na loba 1) Hasil melak na saeutik."
Hasil melak na loba,Hasil melak na saeutik.,Hasil melak na kawas kali keur saat.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hasil melak na kawas kali keur saat., Options: 0) Hasil melak na loba 1) Hasil melak na saeutik."
Nu lalajo di stadion kamari rame,Nu lalajo di stadion kamari sepi.,Nu lalajo di stadion kamari siga budak leutik,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nu lalajo di stadion kamari siga budak leutik, Options: 0) Nu lalajo di stadion kamari rame 1) Nu lalajo di stadion kamari sepi."
Nu lalajo di stadion kamari rame,Nu lalajo di stadion kamari sepi.,Nu lalajo di stadion kamari siga nu karolot kabeh.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nu lalajo di stadion kamari siga nu karolot kabeh., Options: 0) Nu lalajo di stadion kamari rame 1) Nu lalajo di stadion kamari sepi."
Beuki ka dieu pamarentah beuki korup,Beuki ka dieu pamarentah beuki ngaalusan.,Beuki ka dieu pamarentah teh siga beurit dina lumbung pare,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Beuki ka dieu pamarentah teh siga beurit dina lumbung pare, Options: 0) Beuki ka dieu pamarentah beuki korup 1) Beuki ka dieu pamarentah beuki ngaalusan."
Beuki ka dieu pamarentah beuki korup,Beuki ka dieu pamarentah beuki ngaalusan.,Beuki ka dieu pamarentah teh siga pare nu geus asak.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Beuki ka dieu pamarentah teh siga pare nu geus asak., Options: 0) Beuki ka dieu pamarentah beuki korup 1) Beuki ka dieu pamarentah beuki ngaalusan."
Sanajan loba masalah maneh na pantang nyerah,Sanajan loba masalah maneh na gampil nyerah.,Sanajan loba masalah manehna siga jukut di leuweung,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sanajan loba masalah manehna siga jukut di leuweung, Options: 0) Sanajan loba masalah maneh na pantang nyerah 1) Sanajan loba masalah maneh na gampil nyerah."
Sanajan loba masalah maneh na pantang nyerah,Sanajan loba masalah maneh na gampil nyerah.,Sanajan loba masalah manehna siga kembang katewak angin.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sanajan loba masalah manehna siga kembang katewak angin., Options: 0) Sanajan loba masalah maneh na pantang nyerah 1) Sanajan loba masalah maneh na gampil nyerah."
Ngalereskeun ieu mesin hese,Ngalereskeun ieu mesin gampil.,Ngalereskeun ieu mesin siga nu keur operasi jantung,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ngalereskeun ieu mesin siga nu keur operasi jantung, Options: 0) Ngalereskeun ieu mesin hese 1) Ngalereskeun ieu mesin gampil."
Ngalereskeun ieu mesin hese,Ngalereskeun ieu mesin gampil.,Ngalereskeun ieu mesin siga ngalereskeun cocoan budak.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ngalereskeun ieu mesin siga ngalereskeun cocoan budak., Options: 0) Ngalereskeun ieu mesin hese 1) Ngalereskeun ieu mesin gampil."
Asep lumpatna gancang,Asep lumpatna lila.,Asep lumpatna kawas uncal,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Asep lumpatna kawas uncal, Options: 0) Asep lumpatna gancang 1) Asep lumpatna lila."
Asep lumpatna gancang,Asep lumpatna lila.,Asep lumpatna kawas keong.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Asep lumpatna kawas keong., Options: 0) Asep lumpatna gancang 1) Asep lumpatna lila."
Si Iwan kasohor lantaran kasep,Si Iwan kasohor lantaran goreng.,Si Iwan kasohor lantaran siga foto model,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Si Iwan kasohor lantaran siga foto model, Options: 0) Si Iwan kasohor lantaran kasep 1) Si Iwan kasohor lantaran goreng."
Si Iwan kasohor lantaran kasep,Si Iwan kasohor lantaran goreng.,Si Iwan kasohor lantaran siga foto modol.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Si Iwan kasohor lantaran siga foto modol., Options: 0) Si Iwan kasohor lantaran kasep 1) Si Iwan kasohor lantaran goreng."
Mun jadi jalmi ulah sok kedul,Mun jadi jalmi ulah sok getol.,Mun jadi jalmi ulah sok beurat birit,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mun jadi jalmi ulah sok beurat birit, Options: 0) Mun jadi jalmi ulah sok kedul 1) Mun jadi jalmi ulah sok getol."
Mun jadi jalmi ulah sok kedul,Mun jadi jalmi ulah sok getol.,Mun jadi jalmi ulah sok hampang birit.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mun jadi jalmi ulah sok hampang birit., Options: 0) Mun jadi jalmi ulah sok kedul 1) Mun jadi jalmi ulah sok getol."
Hirup teh sulit,Hirup teh gampil.,Hirup teh kawas leumpang di gigir gawir,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hirup teh kawas leumpang di gigir gawir, Options: 0) Hirup teh sulit 1) Hirup teh gampil."
Hirup teh sulit,Hirup teh gampil.,Hirup teh kawas lumpat di lapang.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hirup teh kawas lumpat di lapang., Options: 0) Hirup teh sulit 1) Hirup teh gampil."
Meuli hp mahal,Meuli hp murah.,Meuli hp saharga imah gedongan,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Meuli hp saharga imah gedongan, Options: 0) Meuli hp mahal 1) Meuli hp murah."
Meuli hp mahal,Meuli hp murah.,Meuli hp saharga rorompok gubuk.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Meuli hp saharga rorompok gubuk., Options: 0) Meuli hp mahal 1) Meuli hp murah."
Omongan Pak Ustad amis,Omongan Pak Ustad pait.,Omongan Pak Ustad kawas gula dina enteh,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Omongan Pak Ustad kawas gula dina enteh, Options: 0) Omongan Pak Ustad amis 1) Omongan Pak Ustad pait."
Omongan Pak Ustad amis,Omongan Pak Ustad pait.,Omongan Pak Ustad kawas kopi hideung.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Omongan Pak Ustad kawas kopi hideung., Options: 0) Omongan Pak Ustad amis 1) Omongan Pak Ustad pait."
Ieu kabar ngareuwaskeun,Ieu kabar nenangkeun.,Ieu kabar umpama hujan bentar,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ieu kabar umpama hujan bentar, Options: 0) Ieu kabar ngareuwaskeun 1) Ieu kabar nenangkeun."
Ieu kabar ngareuwaskeun,Ieu kabar nenangkeun.,Ieu kabar umpama angin ngahiliwir.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ieu kabar umpama angin ngahiliwir., Options: 0) Ieu kabar ngareuwaskeun 1) Ieu kabar nenangkeun."
Kulit Siti mulus,Kulit Siti korodok.,Kulit Siti kos bujur orok,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kulit Siti kos bujur orok, Options: 0) Kulit Siti mulus 1) Kulit Siti korodok."
Kulit Siti mulus,Kulit Siti korodok.,Kulit Siti kos careuh bulan.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kulit Siti kos careuh bulan., Options: 0) Kulit Siti mulus 1) Kulit Siti korodok."
Sikap anjeunna tiis,Sikap anjeunna haneut.,Sikap anjeunna siga es batu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sikap anjeunna siga es batu, Options: 0) Sikap anjeunna tiis 1) Sikap anjeunna haneut."
Sikap anjeunna tiis,Sikap anjeunna haneut.,Sikap anjeunna siga susu botol jang orok.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sikap anjeunna siga susu botol jang orok., Options: 0) Sikap anjeunna tiis 1) Sikap anjeunna haneut."
Adi lanceuk teh kalakuan teu akur,Adi lanceuk teh kalakuan akur.,Adi lanceuk teh kalakuan kos anjing jeung ucing,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Adi lanceuk teh kalakuan kos anjing jeung ucing, Options: 0) Adi lanceuk teh kalakuan teu akur 1) Adi lanceuk teh kalakuan akur."
Adi lanceuk teh kalakuan teu akur,Adi lanceuk teh kalakuan akur.,Adi lanceuk teh kalakuan kos jalak jeung kebo.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Adi lanceuk teh kalakuan kos jalak jeung kebo., Options: 0) Adi lanceuk teh kalakuan teu akur 1) Adi lanceuk teh kalakuan akur."
Boga kabogoh teh sikapna wanian,Boga kabogoh teh sikapna eraan.,Boga kabogoh teh sikapna kos maung,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Boga kabogoh teh sikapna kos maung, Options: 0) Boga kabogoh teh sikapna wanian 1) Boga kabogoh teh sikapna eraan."
Boga kabogoh teh sikapna wanian,Boga kabogoh teh sikapna eraan.,Boga kabogoh teh sikapna kos kukang.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Boga kabogoh teh sikapna kos kukang., Options: 0) Boga kabogoh teh sikapna wanian 1) Boga kabogoh teh sikapna eraan."
Lanceuk abdi awakna begang,Lanceuk abdi awakna buleud.,Lanceuk abdi awakna sapertos nyere,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lanceuk abdi awakna sapertos nyere, Options: 0) Lanceuk abdi awakna begang 1) Lanceuk abdi awakna buleud."
Lanceuk abdi awakna begang,Lanceuk abdi awakna buleud.,Lanceuk abdi awakna sapertos gajah.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lanceuk abdi awakna sapertos gajah., Options: 0) Lanceuk abdi awakna begang 1) Lanceuk abdi awakna buleud."
Gawe teh ngabagjakeun,Gawe teh hanjelu.,Gawe teh umpama nginum cai sirop,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Gawe teh umpama nginum cai sirop, Options: 0) Gawe teh ngabagjakeun 1) Gawe teh hanjelu."
Gawe teh ngabagjakeun,Gawe teh hanjelu.,Gawe teh umpama nginum peresan limo.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Gawe teh umpama nginum peresan limo., Options: 0) Gawe teh ngabagjakeun 1) Gawe teh hanjelu."
