ending1,ending2,labels,startphrase,instruction_column
Investasi Bitcoin menguntungkan.,Investasi Bitcoin merugikan.,1,Investasi Bitcoin sekarang ini ibarat membayar KPR dengan bunga tinggi.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Investasi Bitcoin sekarang ini ibarat membayar KPR dengan bunga tinggi., Options: 0) Investasi Bitcoin menguntungkan. 1) Investasi Bitcoin merugikan."
Karir yang diam ditempat.,Karir yang bergerak mengikuti arus yang seharusnya.,0,"Seperti air menenang, karirku sekarang.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Seperti air menenang, karirku sekarang., Options: 0) Karir yang diam ditempat. 1) Karir yang bergerak mengikuti arus yang seharusnya."
Karir yang diam ditempat.,Karir yang bergerak mengikuti arus yang seharusnya.,1,"Seperti air mengalir, karirku sekarang.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Seperti air mengalir, karirku sekarang., Options: 0) Karir yang diam ditempat. 1) Karir yang bergerak mengikuti arus yang seharusnya."
Cuacanya panas.,Cuacanya dingin.,0,Cuaca hari ini seperti panasnya neraka.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cuaca hari ini seperti panasnya neraka., Options: 0) Cuacanya panas. 1) Cuacanya dingin."
Cuacanya panas.,Cuacanya dingin.,1,Cuaca hari ini seperti dinginnya Kutub Utara.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cuaca hari ini seperti dinginnya Kutub Utara., Options: 0) Cuacanya panas. 1) Cuacanya dingin."
Kuenya enak dimakan.,Kuenya tidak enak dimakan.,0,Kue buatan temanku rasanya seperti makan mangga ketika musimnya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kue buatan temanku rasanya seperti makan mangga ketika musimnya., Options: 0) Kuenya enak dimakan. 1) Kuenya tidak enak dimakan."
Kuenya enak dimakan.,Kuenya tidak enak dimakan.,1,Kue buatan temanku rasanya seperti makan jarum ketika sariawan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kue buatan temanku rasanya seperti makan jarum ketika sariawan., Options: 0) Kuenya enak dimakan. 1) Kuenya tidak enak dimakan."
Timbangan badanku turun.,Timbangan badanku naik.,0,Timbangan badanku macam bergerak ke kiri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Timbangan badanku macam bergerak ke kiri., Options: 0) Timbangan badanku turun. 1) Timbangan badanku naik."
Timbangan badanku turun.,Timbangan badanku naik.,1,Timbangan badanku macam bergerak ke kanan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Timbangan badanku macam bergerak ke kanan., Options: 0) Timbangan badanku turun. 1) Timbangan badanku naik."
Badannya bau.,Badannya harum.,0,Bau badannya sudah seperti bau duren.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bau badannya sudah seperti bau duren., Options: 0) Badannya bau. 1) Badannya harum."
Badannya bau.,Badannya harum.,1,Bau badannya sudah seperti bau bunga.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bau badannya sudah seperti bau bunga., Options: 0) Badannya bau. 1) Badannya harum."
Hari-harinya sibuk.,Hari-harinya tidak sibuk.,0,"Walau masih mahasiswa, tapi hari-harinya macam karyawan lembur.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Walau masih mahasiswa, tapi hari-harinya macam karyawan lembur., Options: 0) Hari-harinya sibuk. 1) Hari-harinya tidak sibuk."
Hari-harinya sibuk.,Hari-harinya tidak sibuk.,1,"Walau masih mahasiswa, tapi hari-harinya macam karyawan kena phk.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Walau masih mahasiswa, tapi hari-harinya macam karyawan kena phk., Options: 0) Hari-harinya sibuk. 1) Hari-harinya tidak sibuk."
Ucapannya penuh gombalan.,Ucapannya penuh nasihat.,0,"Setiap lelaki itu bersuara, ucapannya bagaikan buaya darat.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Setiap lelaki itu bersuara, ucapannya bagaikan buaya darat., Options: 0) Ucapannya penuh gombalan. 1) Ucapannya penuh nasihat."
Ucapannya penuh gombalan.,Ucapannya penuh nasihat.,1,"Setiap lelaki itu bersuara, ucapannya bagaikan guru ngaji dengan muridnya.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Setiap lelaki itu bersuara, ucapannya bagaikan guru ngaji dengan muridnya., Options: 0) Ucapannya penuh gombalan. 1) Ucapannya penuh nasihat."
Bebah hidup Dani ringan.,Bebah hidup Dani berat.,0,"Seberat kapas, begitulah beban hidup Dani.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Seberat kapas, begitulah beban hidup Dani., Options: 0) Bebah hidup Dani ringan. 1) Bebah hidup Dani berat."
Bebah hidup Dani ringan.,Bebah hidup Dani berat.,1,"Seberat ikan paus, begitulah beban hidup Dani.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Seberat ikan paus, begitulah beban hidup Dani., Options: 0) Bebah hidup Dani ringan. 1) Bebah hidup Dani berat."
Nasihat ibu terkadang enak didengar.,Nasihat ibu terkadang tidak enak didengar.,0,Nasihat ibu terkadang semanis permen.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nasihat ibu terkadang semanis permen., Options: 0) Nasihat ibu terkadang enak didengar. 1) Nasihat ibu terkadang tidak enak didengar."
Nasihat ibu terkadang enak didengar.,Nasihat ibu terkadang tidak enak didengar.,1,Nasihat ibu terkadang semanis jamu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nasihat ibu terkadang semanis jamu., Options: 0) Nasihat ibu terkadang enak didengar. 1) Nasihat ibu terkadang tidak enak didengar."
Bukunya banyak sekali.,Bukunya nyaris tidak ada.,0,Buku koleksi adikku sebanyak pasir di pantai.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Buku koleksi adikku sebanyak pasir di pantai., Options: 0) Bukunya banyak sekali. 1) Bukunya nyaris tidak ada."
Bukunya banyak sekali.,Bukunya nyaris tidak ada.,1,Buku koleksi adikku sebanyak bunga di musim gugur.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Buku koleksi adikku sebanyak bunga di musim gugur., Options: 0) Bukunya banyak sekali. 1) Bukunya nyaris tidak ada."
Sinta dan Mayang sangat mirip.,Sinta dan Mayang sangat berbeda.,0,Sinta dan Mayang itu bagai pinang dibelah dua.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sinta dan Mayang itu bagai pinang dibelah dua., Options: 0) Sinta dan Mayang sangat mirip. 1) Sinta dan Mayang sangat berbeda."
Sinta dan Mayang sangat mirip.,Sinta dan Mayang sangat berbeda.,1,Sinta dan Mayang itu bagai langit dan bumi.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sinta dan Mayang itu bagai langit dan bumi., Options: 0) Sinta dan Mayang sangat mirip. 1) Sinta dan Mayang sangat berbeda."
Diam itu membawa dampak positif.,Diam itu membawa dampak negatif.,0,Diam itu emas.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Diam itu emas., Options: 0) Diam itu membawa dampak positif. 1) Diam itu membawa dampak negatif."
Diam itu membawa dampak positif.,Diam itu membawa dampak negatif.,1,Diam itu sampah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Diam itu sampah., Options: 0) Diam itu membawa dampak positif. 1) Diam itu membawa dampak negatif."
Aku tidak berharga bagi atasan.,Aku berharga bagi atasan.,0,Aku seperti umbi-umbian di mata atasan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Aku seperti umbi-umbian di mata atasan., Options: 0) Aku tidak berharga bagi atasan. 1) Aku berharga bagi atasan."
Aku tidak berharga bagi atasan.,Aku berharga bagi atasan.,1,Aku seperti anak emas di mata atasan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Aku seperti anak emas di mata atasan., Options: 0) Aku tidak berharga bagi atasan. 1) Aku berharga bagi atasan."
Wilayah Pasundan amat indah.,Wilayah Pasundan amat jelek.,0,Tanah Pasundan diciptakan seakan Tuhan sedang tersenyum.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tanah Pasundan diciptakan seakan Tuhan sedang tersenyum., Options: 0) Wilayah Pasundan amat indah. 1) Wilayah Pasundan amat jelek."
Wilayah Pasundan amat indah.,Wilayah Pasundan amat jelek.,1,Tanah Pasundan diciptakan seakan Tuhan sedang marah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tanah Pasundan diciptakan seakan Tuhan sedang marah., Options: 0) Wilayah Pasundan amat indah. 1) Wilayah Pasundan amat jelek."
Kedelai itu dirawat petani dengan sungguh-sungguh.,Kedelai itu dirawat petani dengan serampangan.,0,Kedelai itu dirawat petani layaknya anak sendiri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kedelai itu dirawat petani layaknya anak sendiri., Options: 0) Kedelai itu dirawat petani dengan sungguh-sungguh. 1) Kedelai itu dirawat petani dengan serampangan."
Kedelai itu dirawat petani dengan sungguh-sungguh.,Kedelai itu dirawat petani dengan serampangan.,1,Kedelai itu dirawat petani layaknya anak tiri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kedelai itu dirawat petani layaknya anak tiri., Options: 0) Kedelai itu dirawat petani dengan sungguh-sungguh. 1) Kedelai itu dirawat petani dengan serampangan."
Ibu merawat anaknya dengan kasih sayang.,Ibu merawat anaknya dengan ogah-ogahan.,0,Ibu membesarkan anaknya dengan sepenuh hati.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ibu membesarkan anaknya dengan sepenuh hati., Options: 0) Ibu merawat anaknya dengan kasih sayang. 1) Ibu merawat anaknya dengan ogah-ogahan."
Ibu merawat anaknya dengan kasih sayang.,Ibu merawat anaknya dengan ogah-ogahan.,1,Ibu membesarkan anaknya dengan setengah hati.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ibu membesarkan anaknya dengan setengah hati., Options: 0) Ibu merawat anaknya dengan kasih sayang. 1) Ibu merawat anaknya dengan ogah-ogahan."
Guru memberi materi sebanyak-banyaknya.,Guru memberi materi secukupnya.,0,Guru memberikan materi seolah tidak ada hari esok.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Guru memberikan materi seolah tidak ada hari esok., Options: 0) Guru memberi materi sebanyak-banyaknya. 1) Guru memberi materi secukupnya."
Guru memberi materi sebanyak-banyaknya.,Guru memberi materi secukupnya.,1,Guru memberikan materi seolah masih ada hari esok.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Guru memberikan materi seolah masih ada hari esok., Options: 0) Guru memberi materi sebanyak-banyaknya. 1) Guru memberi materi secukupnya."
Cuaca hari ini sangat panas.,Cuaca hari ini sangat dingin.,0,Hari ini cuacanya seperti berada di Padang Mahsyar.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hari ini cuacanya seperti berada di Padang Mahsyar., Options: 0) Cuaca hari ini sangat panas. 1) Cuaca hari ini sangat dingin."
Cuaca hari ini sangat panas.,Cuaca hari ini sangat dingin.,1,Hari ini cuacanya seperti berada di di puncak gunung Bromo.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hari ini cuacanya seperti berada di di puncak gunung Bromo., Options: 0) Cuaca hari ini sangat panas. 1) Cuaca hari ini sangat dingin."
Youtuber itu makan nasi padang dengan porsi sedikit.,Youtuber itu makan nasi padang dengan porsi sangat banyak.,0,Youtuber itu makan nasi padang seolah perutnya sudah penuh.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Youtuber itu makan nasi padang seolah perutnya sudah penuh., Options: 0) Youtuber itu makan nasi padang dengan porsi sedikit. 1) Youtuber itu makan nasi padang dengan porsi sangat banyak."
Youtuber itu makan nasi padang dengan porsi sedikit.,Youtuber itu makan nasi padang dengan porsi sangat banyak.,1,Youtuber itu makan nasi padang seolah perutnya masih bisa memelar seperti karet.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Youtuber itu makan nasi padang seolah perutnya masih bisa memelar seperti karet., Options: 0) Youtuber itu makan nasi padang dengan porsi sedikit. 1) Youtuber itu makan nasi padang dengan porsi sangat banyak."
Bulu harimau itu sangat indah.,Bulu harimau itu sangat buruk.,0,Harimau itu memiliki bulu bagai lukisan abstrak yang estetik.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Harimau itu memiliki bulu bagai lukisan abstrak yang estetik., Options: 0) Bulu harimau itu sangat indah. 1) Bulu harimau itu sangat buruk."
Bulu harimau itu sangat indah.,Bulu harimau itu sangat buruk.,1,Harimau itu memiliki bulu bagai lukisan anak TK yang belum bisa menggambar.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Harimau itu memiliki bulu bagai lukisan anak TK yang belum bisa menggambar., Options: 0) Bulu harimau itu sangat indah. 1) Bulu harimau itu sangat buruk."
Resesi 2023 menyeramkan.,Resesi 2023 sepele.,0,Resesi 2023 seperti petani yang mengalami gagal panen.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Resesi 2023 seperti petani yang mengalami gagal panen., Options: 0) Resesi 2023 menyeramkan. 1) Resesi 2023 sepele."
Resesi 2023 menyeramkan.,Resesi 2023 sepele.,1,Resesi 2023 seperti anak SD yang kehilangan sebiji permen.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Resesi 2023 seperti anak SD yang kehilangan sebiji permen., Options: 0) Resesi 2023 menyeramkan. 1) Resesi 2023 sepele."
Nyanyian Geisha memukau bagi penonton.,Nyanyian Geisha menjijikkan bagi penonton.,0,"Ketika Geisha menyanyi, dia seolah membius semua penonton.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ketika Geisha menyanyi, dia seolah membius semua penonton., Options: 0) Nyanyian Geisha memukau bagi penonton. 1) Nyanyian Geisha menjijikkan bagi penonton."
Nyanyian Geisha memukau bagi penonton.,Nyanyian Geisha menjijikkan bagi penonton.,1,"Ketika Geisha menyanyi, dia seolah menghantui semua penonton.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ketika Geisha menyanyi, dia seolah menghantui semua penonton., Options: 0) Nyanyian Geisha memukau bagi penonton. 1) Nyanyian Geisha menjijikkan bagi penonton."
Banyak destinasi wisata di Indonesia yang masih alami.,Banyak destinasi wisata di Indonesia yang sudah terekspos.,0,Indonesia memiliki banyak destinasi wisata yang masih perawan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Indonesia memiliki banyak destinasi wisata yang masih perawan., Options: 0) Banyak destinasi wisata di Indonesia yang masih alami. 1) Banyak destinasi wisata di Indonesia yang sudah terekspos."
Banyak destinasi wisata di Indonesia yang masih alami.,Banyak destinasi wisata di Indonesia yang sudah terekspos.,1,Indonesia memiliki banyak destinasi wisata yang sudah terjamah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Indonesia memiliki banyak destinasi wisata yang sudah terjamah., Options: 0) Banyak destinasi wisata di Indonesia yang masih alami. 1) Banyak destinasi wisata di Indonesia yang sudah terekspos."
Rambutnya bergelombang indah.,Rambutnya kaku takterawat.,0,Rambutnya bagai ombak samudra yang berkilau tertimpa sinar rembulan di malam hari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rambutnya bagai ombak samudra yang berkilau tertimpa sinar rembulan di malam hari., Options: 0) Rambutnya bergelombang indah. 1) Rambutnya kaku takterawat."
Rambutnya bergelombang indah.,Rambutnya kaku takterawat.,1,Rambutnya bagai sapu ijuk.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rambutnya bagai sapu ijuk., Options: 0) Rambutnya bergelombang indah. 1) Rambutnya kaku takterawat."
"Bagi Nouval, harta adalah sumber kebahagiaan.","Bagi Nouval, harta adalah sumber kesengsaraan.",0,"Bagi Nouval, banyaknya harta adalah alasan yang merekahkan bibirnya dengan kebahagiaan. .","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagi Nouval, banyaknya harta adalah alasan yang merekahkan bibirnya dengan kebahagiaan. ., Options: 0) Bagi Nouval, harta adalah sumber kebahagiaan. 1) Bagi Nouval, harta adalah sumber kesengsaraan."
"Bagi Nouval, harta adalah sumber kebahagiaan.","Bagi Nouval, harta adalah sumber kesengsaraan.",1,"Bagi Nouval, banyaknya harta adalah cobaan yang memuakkan. .","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagi Nouval, banyaknya harta adalah cobaan yang memuakkan. ., Options: 0) Bagi Nouval, harta adalah sumber kebahagiaan. 1) Bagi Nouval, harta adalah sumber kesengsaraan."
Anak laki-laki dalam adat Jawa dinilai sangat berharga.,Anak laki-laki dalam adat Jawa dinilai tidak berharga.,0,Anak laki-laki dalam adat Jawa adalah pusaka yang sangat dipuja.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Anak laki-laki dalam adat Jawa adalah pusaka yang sangat dipuja., Options: 0) Anak laki-laki dalam adat Jawa dinilai sangat berharga. 1) Anak laki-laki dalam adat Jawa dinilai tidak berharga."
Anak laki-laki dalam adat Jawa dinilai sangat berharga.,Anak laki-laki dalam adat Jawa dinilai tidak berharga.,1,Anak laki-laki dalam adat Jawa adalah beban keluarga.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Anak laki-laki dalam adat Jawa adalah beban keluarga., Options: 0) Anak laki-laki dalam adat Jawa dinilai sangat berharga. 1) Anak laki-laki dalam adat Jawa dinilai tidak berharga."
Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.,Peran perempuan dalam adat Jawa sangat berpengaruh.,0,Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih., Options: 0) Peran perempuan dalam adat Jawa sangat tidak punya pengaruh. 1) Peran perempuan dalam adat Jawa sangat berpengaruh."
Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.,Peran perempuan dalam adat Jawa sangat berpengaruh.,1,Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih., Options: 0) Peran perempuan dalam adat Jawa sangat tidak punya pengaruh. 1) Peran perempuan dalam adat Jawa sangat berpengaruh."
Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.,Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.,0,Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia., Options: 0) Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia. 1) Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia."
Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.,Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.,1,Beras miskin adalah simbol kemelaratan yang memilukan bagi sebagian besar warga Indonesia.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Beras miskin adalah simbol kemelaratan yang memilukan bagi sebagian besar warga Indonesia., Options: 0) Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia. 1) Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia."
Belajar matematika itu menakutkan.,Belajar matematika itu menyenangkan.,0,Belajar matematika itu bagai melihat hantu di rumah sakit angker yang sudah kosong berpuluh-puluh tahun.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Belajar matematika itu bagai melihat hantu di rumah sakit angker yang sudah kosong berpuluh-puluh tahun., Options: 0) Belajar matematika itu menakutkan. 1) Belajar matematika itu menyenangkan."
Belajar matematika itu menakutkan.,Belajar matematika itu menyenangkan.,1,Belajar matematika itu bagai bertemu dan mengobrol dengan artis idola secara langsung.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Belajar matematika itu bagai bertemu dan mengobrol dengan artis idola secara langsung., Options: 0) Belajar matematika itu menakutkan. 1) Belajar matematika itu menyenangkan."
Minum kopi saat senja itu rasanya melegakan.,Minum kopi saat senja itu rasanya membawa penyesalan.,0,Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama., Options: 0) Minum kopi saat senja itu rasanya melegakan. 1) Minum kopi saat senja itu rasanya membawa penyesalan."
