startphrase,ending1,ending2,labels,instruction_column
Rafiki yake anapenda sana njia za panya,Rafiki yake anapenda njia haramu,Rafiki yake hapendi njia haramu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rafiki yake anapenda sana njia za panya, Options: 0) Rafiki yake anapenda njia haramu 1) Rafiki yake hapendi njia haramu"
Rafiki yake amekunywa maji ya bendera,Rafiki yake anapenda njia haramu,Rafiki yake hapendi njia haramu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rafiki yake amekunywa maji ya bendera, Options: 0) Rafiki yake anapenda njia haramu 1) Rafiki yake hapendi njia haramu"
Wanachuo wanapenda kupiga maji,Wanachuo wanapenda kunywa pombe,Wanachuo hawapendi kunywa pombe,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wanachuo wanapenda kupiga maji, Options: 0) Wanachuo wanapenda kunywa pombe 1) Wanachuo hawapendi kunywa pombe"
Wanachuo hawapendi kupiga maji,Wanachuo wanapenda kunywa pombe,Wanachuo hawapendi kunywa pombe,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wanachuo hawapendi kupiga maji, Options: 0) Wanachuo wanapenda kunywa pombe 1) Wanachuo hawapendi kunywa pombe"
Wanafiki watakupaka mafuta,Wanafiki watakupa sifa za uongo,Wanafiki watakupa sifa za ukweli,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wanafiki watakupaka mafuta, Options: 0) Wanafiki watakupa sifa za uongo 1) Wanafiki watakupa sifa za ukweli"
Wanafiki hawatakupaka mafuta,Wanafiki watakupa sifa za uongo,Wanafiki watakupa sifa za ukweli,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wanafiki hawatakupaka mafuta, Options: 0) Wanafiki watakupa sifa za uongo 1) Wanafiki watakupa sifa za ukweli"
Hupenda kuweka mambo yake kwenye mstari,Hupenda kufanya mambo yake kufuata utaratibu,Hupenda kufanya mambo yake bila kufuata utaratibu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hupenda kuweka mambo yake kwenye mstari, Options: 0) Hupenda kufanya mambo yake kufuata utaratibu 1) Hupenda kufanya mambo yake bila kufuata utaratibu"
Hupenda kupindisha mambo yake,Hupenda kufanya mambo yake kufuata utaratibu,Hupenda kufanya mambo yake bila kufuata utaratibu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hupenda kupindisha mambo yake, Options: 0) Hupenda kufanya mambo yake kufuata utaratibu 1) Hupenda kufanya mambo yake bila kufuata utaratibu"
Mvua ilinyesha mgongoni mwake wakati wa mazoezi,Alitokwa jasho jingi wakati wa mazoezi,Hakutokwa na jasho jingi wakati wa mazoezi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mvua ilinyesha mgongoni mwake wakati wa mazoezi, Options: 0) Alitokwa jasho jingi wakati wa mazoezi 1) Hakutokwa na jasho jingi wakati wa mazoezi"
Ukame ulitanda mgongoni mwake wakati wa mazoezi,Alitokwa jasho jingi wakati wa mazoezi,Hakutokwa na jasho jingi wakati wa mazoezi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ukame ulitanda mgongoni mwake wakati wa mazoezi, Options: 0) Alitokwa jasho jingi wakati wa mazoezi 1) Hakutokwa na jasho jingi wakati wa mazoezi"
Wanapenda kuambatana utadhani siafu,Wanapenda kuwa pamoja,Hawapendi kuwa pamoja,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wanapenda kuambatana utadhani siafu, Options: 0) Wanapenda kuwa pamoja 1) Hawapendi kuwa pamoja"
Hawapendi kuambatana kama siafu,Wanapenda kuwa pamoja,Hawapendi kuwa pamoja,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hawapendi kuambatana kama siafu, Options: 0) Wanapenda kuwa pamoja 1) Hawapendi kuwa pamoja"
Hii kesi tumeivalia njuga,Hii kesi tutaishughulikia kisawasawa,Hii kesi tumeishindwa,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hii kesi tumeivalia njuga, Options: 0) Hii kesi tutaishughulikia kisawasawa 1) Hii kesi tumeishindwa"
Hii kesi tumeivulia shati,Hii kesi tutaishughulikia kisawasawa,Hii kesi tumeishindwa,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hii kesi tumeivulia shati, Options: 0) Hii kesi tutaishughulikia kisawasawa 1) Hii kesi tumeishindwa"
Akili zako nawe kama mbogo,Hauna akili,Una akili sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Akili zako nawe kama mbogo, Options: 0) Hauna akili 1) Una akili sana"
Akili zako kama mbweha,Hauna akili,Una akili sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Akili zako kama mbweha, Options: 0) Hauna akili 1) Una akili sana"
"Hawezi kuolewa, bado ni kifaranga",Yeye ni mtoto mdogo,Yeye ni mtu mzima,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hawezi kuolewa, bado ni kifaranga, Options: 0) Yeye ni mtoto mdogo 1) Yeye ni mtu mzima"
"Anaweza kuolewa, ameshakuwa msupu",Yeye ni mtoto mdogo,Yeye ni mtu mzima,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Anaweza kuolewa, ameshakuwa msupu, Options: 0) Yeye ni mtoto mdogo 1) Yeye ni mtu mzima"
Mwanafunzi huyu ana kichwa kigumu,Mwanafunzi haelewi kirahisi,Mwanafunzi anaelewa kiurahisi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mwanafunzi huyu ana kichwa kigumu, Options: 0) Mwanafunzi haelewi kirahisi 1) Mwanafunzi anaelewa kiurahisi"
Mwanafunzi huyu ana kichwa chepesi,Mwanafunzi haelewi kirahisi,Mwanafunzi anaelewa kiurahisi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mwanafunzi huyu ana kichwa chepesi, Options: 0) Mwanafunzi haelewi kirahisi 1) Mwanafunzi anaelewa kiurahisi"
Haya mambo nimeyanawia mikono,Haya mambo nimeyaacha,Haya mambo ninayafuatilia,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Haya mambo nimeyanawia mikono, Options: 0) Haya mambo nimeyaacha 1) Haya mambo ninayafuatilia"
Haya mambo nimeyafungia mkanda,Haya mambo nimeyaacha,Haya mambo ninayafuatilia,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Haya mambo nimeyafungia mkanda, Options: 0) Haya mambo nimeyaacha 1) Haya mambo ninayafuatilia"
Nguo zake kila siku ni pamba kali,Nguo zake kila siku ni nzuri,Nguo zake kila siku ni mbaya,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nguo zake kila siku ni pamba kali, Options: 0) Nguo zake kila siku ni nzuri 1) Nguo zake kila siku ni mbaya"
Nguo zake kila siku ni matambara,Nguo zake kila siku ni nzuri,Nguo zake kila siku ni mbaya,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nguo zake kila siku ni matambara, Options: 0) Nguo zake kila siku ni nzuri 1) Nguo zake kila siku ni mbaya"
Hali yangu ni kama natembea juu ya miiba,Hali yangu ni mbaya,Hali yangu ni nzuri,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hali yangu ni kama natembea juu ya miiba, Options: 0) Hali yangu ni mbaya 1) Hali yangu ni nzuri"
Hali yangu ni mtelezo tu,Hali yangu ni mbaya,Hali yangu ni nzuri,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hali yangu ni mtelezo tu, Options: 0) Hali yangu ni mbaya 1) Hali yangu ni nzuri"
Abuu ni mwanangu,Abuu ni rafiki yangu wa karibu,Abuu sio rafiki yangu wa karibu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Abuu ni mwanangu, Options: 0) Abuu ni rafiki yangu wa karibu 1) Abuu sio rafiki yangu wa karibu"
Abuu sio mwanangu,Abuu ni rafiki yangu wa karibu,Abuu sio rafiki yangu wa karibu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Abuu sio mwanangu, Options: 0) Abuu ni rafiki yangu wa karibu 1) Abuu sio rafiki yangu wa karibu"
Aliingiwa na ubaridi baada ya kushtuka kuwa yuko mwenyewe barabarani,Alipata wasiwasi alipojua yupo mwenyewe barabarani,Hakupata wasiwasi alipojua yupo mwenyewe barabarani,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Aliingiwa na ubaridi baada ya kushtuka kuwa yuko mwenyewe barabarani, Options: 0) Alipata wasiwasi alipojua yupo mwenyewe barabarani 1) Hakupata wasiwasi alipojua yupo mwenyewe barabarani"
Hakuingiwa na ubaridi hata aliposhtuka kuwa yuko mwenyewe barabarani,Alipata wasiwasi alipojua yupo mwenyewe barabarani,Hakupata wasiwasi alipojua yupo mwenyewe barabarani,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hakuingiwa na ubaridi hata aliposhtuka kuwa yuko mwenyewe barabarani, Options: 0) Alipata wasiwasi alipojua yupo mwenyewe barabarani 1) Hakupata wasiwasi alipojua yupo mwenyewe barabarani"
Jamaa ni fisi,Jamaa ni mlafi,Jamaa si mlafi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Jamaa ni fisi, Options: 0) Jamaa ni mlafi 1) Jamaa si mlafi"
Jamaa sio fisi,Jamaa ni mlafi,Jamaa si mlafi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Jamaa sio fisi, Options: 0) Jamaa ni mlafi 1) Jamaa si mlafi"
"Ukimkuta kwenye uwanja wa mbio, kama farasi",Anakimbia kwa spidi kubwa sana,Anakimbia kwa spidi ndogo sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ukimkuta kwenye uwanja wa mbio, kama farasi, Options: 0) Anakimbia kwa spidi kubwa sana 1) Anakimbia kwa spidi ndogo sana"
"Ukimkuta kwenye uwanja wa mbio, kama kobe",Anakimbia kwa spidi kubwa sana,Anakimbia kwa spidi ndogo sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ukimkuta kwenye uwanja wa mbio, kama kobe, Options: 0) Anakimbia kwa spidi kubwa sana 1) Anakimbia kwa spidi ndogo sana"
Yeye ni unyoya,Yeye ni mwepesi,Yeye ni mzito,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Yeye ni unyoya, Options: 0) Yeye ni mwepesi 1) Yeye ni mzito"
Yeye ni jabali,Yeye ni mwepesi,Yeye ni mzito,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Yeye ni jabali, Options: 0) Yeye ni mwepesi 1) Yeye ni mzito"
Alinivuta kama sumaku,Alinivuta kwa nguvu,Alinisukuma kwa nguvu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alinivuta kama sumaku, Options: 0) Alinivuta kwa nguvu 1) Alinisukuma kwa nguvu"
Alinisukuma kama kimbunga,Alinivuta kwa nguvu,Alinisukuma kwa nguvu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alinisukuma kama kimbunga, Options: 0) Alinivuta kwa nguvu 1) Alinisukuma kwa nguvu"
Yeye ni kuku,Yeye ni muoga,Yeye sio muoga,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Yeye ni kuku, Options: 0) Yeye ni muoga 1) Yeye sio muoga"
Yeye ni chui,Yeye ni muoga,Yeye sio muoga,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Yeye ni chui, Options: 0) Yeye ni muoga 1) Yeye sio muoga"
Tulipiga shoka mali zote,Tuligawana mwali zote,Hatukugawana mali zote,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tulipiga shoka mali zote, Options: 0) Tuligawana mwali zote 1) Hatukugawana mali zote"
Hatukupiga shoka mali,Tuligawana mwali zote,Hatukugawana mali zote,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hatukupiga shoka mali, Options: 0) Tuligawana mwali zote 1) Hatukugawana mali zote"
Mke wake ni mkaa,Mke wake ni mweusi,Mke wake ni mweupe,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mke wake ni mkaa, Options: 0) Mke wake ni mweusi 1) Mke wake ni mweupe"
Mke wake ni theluji,Mke wake ni mweusi,Mke wake ni mweupe,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mke wake ni theluji, Options: 0) Mke wake ni mweusi 1) Mke wake ni mweupe"
Sauti yake ni hariri,Sauti yake ni nyororo,Sauti yake si nyororo,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sauti yake ni hariri, Options: 0) Sauti yake ni nyororo 1) Sauti yake si nyororo"
Sauti yake ni kama chura,Sauti yake ni nyororo,Sauti yake si nyororo,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sauti yake ni kama chura, Options: 0) Sauti yake ni nyororo 1) Sauti yake si nyororo"
Kaka yangu ni nyumbu,Kaka yangu ni mkaidi,Kaka yangu ni mtiifu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kaka yangu ni nyumbu, Options: 0) Kaka yangu ni mkaidi 1) Kaka yangu ni mtiifu"
Kaka yangu si nyumbu,Kaka yangu ni mkaidi,Kaka yangu ni mtiifu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kaka yangu si nyumbu, Options: 0) Kaka yangu ni mkaidi 1) Kaka yangu ni mtiifu"
Rafiki yangu ni bundi,Rafiki yangu anakesha usiku,Rafiki yangu hakeshi usiku,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rafiki yangu ni bundi, Options: 0) Rafiki yangu anakesha usiku 1) Rafiki yangu hakeshi usiku"
Rafiki yangu ni popo,Rafiki yangu anakesha usiku,Rafiki yangu hakeshi usiku,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rafiki yangu ni popo, Options: 0) Rafiki yangu anakesha usiku 1) Rafiki yangu hakeshi usiku"
Ilikuwa na spidi ya maji ya mtaro,Ilikuwa taratibu,Ilikuwa fasta,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ilikuwa na spidi ya maji ya mtaro, Options: 0) Ilikuwa taratibu 1) Ilikuwa fasta"
Ilikuwa na spidi ya risasi,Ilikuwa taratibu,Ilikuwa fasta,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ilikuwa na spidi ya risasi, Options: 0) Ilikuwa taratibu 1) Ilikuwa fasta"
Sisi ni kama ardhi na mbingu,Sisi tumetengena sana,Sisi tupo karibu sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sisi ni kama ardhi na mbingu, Options: 0) Sisi tumetengena sana 1) Sisi tupo karibu sana"
Sisi ni kama chupi na tako,Sisi tumetengena sana,Sisi tupo karibu sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sisi ni kama chupi na tako, Options: 0) Sisi tumetengena sana 1) Sisi tupo karibu sana"
Juma ana sikio la mbuzi,Alikuwa hasikii anachoambiwa,Alikuwa akisikia anachoambiwa,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Juma ana sikio la mbuzi, Options: 0) Alikuwa hasikii anachoambiwa 1) Alikuwa akisikia anachoambiwa"
Juma ana sikio la tembo,Alikuwa hasikii anachoambiwa,Alikuwa akisikia anachoambiwa,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Juma ana sikio la tembo, Options: 0) Alikuwa hasikii anachoambiwa 1) Alikuwa akisikia anachoambiwa"
Maji ya bombani ni kaburi la baniani,Maji ya bombani ni adimu,Maji ya bombani si adimu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maji ya bombani ni kaburi la baniani, Options: 0) Maji ya bombani ni adimu 1) Maji ya bombani si adimu"
Maji ya bombani ni kaburi la baniani,Maji ya bombani ni adimu,Maji ya bombani si adimu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maji ya bombani ni kaburi la baniani, Options: 0) Maji ya bombani ni adimu 1) Maji ya bombani si adimu"
Mapenzi ni asali,Mapenzi ni matamu,Mapenzi ni machungu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mapenzi ni asali, Options: 0) Mapenzi ni matamu 1) Mapenzi ni machungu"
Mapenzi ni shubiri,Mapenzi ni matamu,Mapenzi ni machungu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mapenzi ni shubiri, Options: 0) Mapenzi ni matamu 1) Mapenzi ni machungu"
Yeye ni mnyama,Yuko na roho mbaya,Yuko na roho ya utu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Yeye ni mnyama, Options: 0) Yuko na roho mbaya 1) Yuko na roho ya utu"
Yeye ni malaika,Yuko na roho mbaya,Yuko na roho ya utu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Yeye ni malaika, Options: 0) Yuko na roho mbaya 1) Yuko na roho ya utu"
Msichana alikuwa kipepeo,Alikuwa mrembo sana,Alikuwa si mrembo sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Msichana alikuwa kipepeo, Options: 0) Alikuwa mrembo sana 1) Alikuwa si mrembo sana"
Msichana alikuwa kienyeji,Alikuwa mrembo sana,Alikuwa si mrembo sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Msichana alikuwa kienyeji, Options: 0) Alikuwa mrembo sana 1) Alikuwa si mrembo sana"
Kenya ni paradiso,Ni mahali pazuri sana,Ni mahali pabaya sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kenya ni paradiso, Options: 0) Ni mahali pazuri sana 1) Ni mahali pabaya sana"
Kenya ni jehanamu,Ni mahali pazuri sana,Ni mahali pabaya sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kenya ni jehanamu, Options: 0) Ni mahali pazuri sana 1) Ni mahali pabaya sana"
Moyo wake ni mkubwa,Ni mtu mwema,Ni mtu mbaya sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Moyo wake ni mkubwa, Options: 0) Ni mtu mwema 1) Ni mtu mbaya sana"
Moyo wake ni mdogo,Ni mtu mwema,Ni mtu mbaya sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Moyo wake ni mdogo, Options: 0) Ni mtu mwema 1) Ni mtu mbaya sana"
Kazi yangu ni shida,Sipendi kazi yangu,Naipenda kazi yangu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kazi yangu ni shida, Options: 0) Sipendi kazi yangu 1) Naipenda kazi yangu"
Kazi yangu ni raha,Sipendi kazi yangu,Naipenda kazi yangu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kazi yangu ni raha, Options: 0) Sipendi kazi yangu 1) Naipenda kazi yangu"
Nina wazimu juu yake,Ninampenda sana,Simpendi kabisa,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nina wazimu juu yake, Options: 0) Ninampenda sana 1) Simpendi kabisa"
Nina kijicho juu yake,Ninampenda sana,Simpendi kabisa,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nina kijicho juu yake, Options: 0) Ninampenda sana 1) Simpendi kabisa"
Mradi huo ni mchanga,Kitu kipya sana,Kitu kizee,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mradi huo ni mchanga, Options: 0) Kitu kipya sana 1) Kitu kizee"
